11/18/2013 7:00:00 AM,11/18/2013 7:01:00 AM,11/18/2013 7:01:20 AM,11/18/2013 7:03:50 AM
11/18/2013 7:15:00 AM,11/18/2013 7:16:00 AM,11/18/2013 7:16:20 AM,11/18/2013 7:18:56 AM
11/18/2013 7:30:00 AM,11/18/2013 7:31:00 AM,11/18/2013 7:31:34 AM,11/18/2013 7:34:48 AM
11/18/2013 7:45:00 AM,11/18/2013 7:45:53 AM,11/18/2013 7:46:25 AM,11/18/2013 7:49:33 AM
11/18/2013 8:00:00 AM,11/18/2013 8:00:47 AM,11/18/2013 8:01:17 AM,11/18/2013 8:03:57 AM
11/18/2013 8:15:00 AM,11/18/2013 8:15:53 AM,11/18/2013 8:16:23 AM,11/18/2013 8:19:26 AM
11/18/2013 8:30:00 AM,11/18/2013 8:31:00 AM,11/18/2013 8:31:31 AM,11/18/2013 8:34:55 AM
11/18/2013 8:45:09 AM,11/18/2013 8:46:08 AM,11/18/2013 8:46:30 AM,11/18/2013 8:50:10 AM
11/18/2013 9:00:00 AM,11/18/2013 9:00:52 AM,11/18/2013 9:01:18 AM,11/18/2013 9:04:35 AM
11/18/2013 9:15:00 AM,11/18/2013 9:15:48 AM,11/18/2013 9:16:16 AM,11/18/2013 9:19:24 AM
11/18/2013 9:30:00 AM,11/18/2013 9:30:52 AM,11/18/2013 9:31:19 AM,11/18/2013 9:34:29 AM
11/18/2013 9:45:00 AM,11/18/2013 9:45:52 AM,11/18/2013 9:46:24 AM,11/18/2013 9:49:30 AM
11/18/2013 10:00:00 AM,11/18/2013 10:00:49 AM,11/18/2013 10:01:15 AM,11/18/2013 10:04:05 AM
11/18/2013 10:15:00 AM,11/18/2013 10:15:49 AM,11/18/2013 10:16:13 AM,11/18/2013 10:18:56 AM
11/18/2013 10:30:00 AM,11/18/2013 10:30:50 AM,11/18/2013 10:31:12 AM,11/18/2013 10:33:53 AM
11/18/2013 10:45:00 AM,11/18/2013 10:45:51 AM,11/18/2013 10:46:19 AM,11/18/2013 10:49:21 AM
11/18/2013 11:00:00 AM,11/18/2013 11:00:47 AM,11/18/2013 11:01:11 AM,11/18/2013 11:03:58 AM
11/18/2013 11:15:00 AM,11/18/2013 11:15:48 AM,11/18/2013 11:16:10 AM,11/18/2013 11:18:52 AM
11/18/2013 11:30:00 AM,11/18/2013 11:30:45 AM,11/18/2013 11:31:04 AM,11/18/2013 11:34:05 AM
11/18/2013 11:45:00 AM,11/18/2013 11:45:52 AM,11/18/2013 11:46:18 AM,11/18/2013 11:49:10 AM
11/18/2013 12:00:00 PM,11/18/2013 12:00:48 PM,11/18/2013 12:01:14 PM,11/18/2013 12:04:00 PM
11/18/2013 12:15:00 PM,11/18/2013 12:15:52 PM,11/18/2013 12:16:19 PM,11/18/2013 12:19:00 PM
11/18/2013 12:30:00 PM,11/18/2013 12:30:49 PM,11/18/2013 12:31:15 PM,11/18/2013 12:33:34 PM
11/18/2013 12:45:00 PM,11/18/2013 12:45:53 PM,11/18/2013 12:46:20 PM,11/18/2013 12:48:38 PM
